name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
Radisson Hotels,4.0,(1.6k Reviews),Private,"Minnetonka,Minnesota + 88 more",114 years old,10k-50k Employees (India)
Birlasoft,3.8,(1.6k Reviews),Public,"Pune,Maharashtra + 26 more",28 years old,10k-50k Employees (India)
Max Healthcare,4.1,(1.6k Reviews),Partnership,"Delhi/NCR,New Delhi + 45 more",22 years old,1k-5k Employees (India)
Zensar Technolog...,3.9,(1.5k Reviews),Public,"Pune,Maharashtra + 18 more",22 years old,5k-10k Employees (India)
I Process Servic...,4.0,(1.5k Reviews),Private,"Mumbai,Maharashtra + 224 more",18 years old,1k-5k Employees (India)
United Phosphoru...,4.2,(1.5k Reviews),Public,"Mumbai,Maharashtra + 120 more",54 years old,1k-5k Employees (India)
AGS Health,4.1,(1.5k Reviews),Private,Washington DC + 27 more,12 years old,5k-10k Employees (India)
G4S,4.1,(1.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 111 more",27 years old,1 Lakh+ Employees (India)
Walmart,4.2,(14.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 72 more",14 years old,5k-10k Employees (India)
Birla Sun Life I...,4.3,(1.5k Reviews),Private,"Mumbai,Maharashtra + 299 more",23 years old,10k-50k Employees (India)
Fiserv,3.8,(1.5k Reviews),Private,"Brookfield,Wisconsin + 24 more",39 years old,5k-10k Employees (India)
Lenskart,3.2,(1.5k Reviews),Private,"Faridabad,Haryana + 115 more",13 years old,1k-5k Employees (India)
Voltas,4.1,(1.6k Reviews),Public,"Mumbai,Maharashtra + 142 more",69 years old,5k-10k Employees (India)
Reliance SMSL,4.1,(1.5k Reviews),Public,Mumbai + 387 more,16 years old,1k-5k Employees (India)
Aditya Birla Gro...,4.2,(16.4k Reviews),"Mumbai,Maharashtra + 201 more",166 years old,50k-1 Lakh Employees (India),
Tech Mahindra Bu...,3.6,(1.5k Reviews),Public,"Mumbai,Maharashtra + 35 more",20 years old,1k-5k Employees (India)
Life Insurance C...,4.3,(1.5k Reviews),Private,Mumbai + 362 more,67 years old,1 Lakh+ Employees (India)
Tata Technologie...,3.6,(1.5k Reviews),Private,Singapore + 35 more,34 years old,5k-10k Employees (India)
Pfizer,4.1,(2.3k Reviews),Public,"Chennai,Tamil Nadu + 103 more",19 years old,5k-10k Employees (India)
